student_name,student_id,semester,attendance,gpa,stress_index,sleep_hours,study_hours,assignment_completion,internet_usage,social_activity,family_support,mental_health_score,financial_stress,extracurricular,absences,predicted_risk,probability_score
Adam Teo,0341029,Semester 3,52,3.6,68,5.1,8.4,59,3.5,4,7,6,5,0,8,Medium Risk,82.58
Sean Lee,0475909,Semester 3,93,2.98,13,3.7,9.7,52,7.4,5,1,2,10,3,11,Medium Risk,73.76
Chris Ong,0463883,Semester 3,64,3.78,34,4.5,7.4,30,6.7,9,4,6,7,0,10,Low Risk,14.99
Kevin Chan,0398039,Semester 1,59,3.27,51,5.4,3.7,46,3.1,7,3,10,10,2,12,Medium Risk,68.07
Ryan Teo,0317944,Semester 3,90,3.08,93,4.9,5.0,57,6.6,3,2,5,9,5,20,High Risk,59.02
Jason Teo,0470637,Semester 4,59,2.29,35,3.9,1.4,90,7.7,2,8,7,10,1,12,High Risk,72.19
Nathan Koh,0324663,Semester 3,84,1.81,23,7.7,3.0,96,6.1,9,4,2,8,1,14,Medium Risk,95.85
David Yap,0359672,Semester 4,92,3.38,74,5.6,9.2,87,10.9,8,8,5,4,5,8,Low Risk,20.98
Leo Zhang,0322224,Semester 3,58,2.32,52,4.9,5.9,47,2.7,7,3,4,2,3,13,High Risk,78.33
Leo Ong,0344522,Semester 4,53,3.63,59,8.4,6.3,32,10.4,10,7,8,1,2,9,Medium Risk,91.7
Aaron Zhang,0319880,Semester 4,87,3.42,87,8.4,5.4,64,5.8,1,7,6,7,5,5,Low Risk,49.23
Adam Lim,0327601,Semester 2,98,2.67,82,7.0,1.8,84,2.5,8,3,1,5,3,10,Low Risk,23.5
Henry Koh,0310464,Semester 1,88,3.89,63,4.5,1.7,32,9.2,1,6,4,2,5,1,Low Risk,17.97
Harry Koh,0497806,Semester 2,49,2.32,70,7.0,6.1,57,6.1,5,6,3,10,4,3,Medium Risk,96.48
Justin Chong,0360432,Semester 1,41,3.84,83,7.1,9.6,80,11.4,4,2,10,4,0,9,Medium Risk,89.24
Leo Tan,0391959,Semester 4,42,2.56,64,7.0,1.6,73,1.1,7,8,2,7,2,20,Medium Risk,85.41
Nathan Koh,0322280,Semester 1,86,2.95,93,4.6,8.3,98,9.5,8,7,10,5,2,7,Low Risk,28.03
Ryan Yap,0376307,Semester 1,79,3.27,53,3.2,8.7,53,6.4,6,5,6,5,4,8,Low Risk,17.64
Aaron Ong,0487236,Semester 3,66,2.87,40,7.1,6.8,92,5.9,1,2,5,4,3,7,Low Risk,24.76
Jack Lim,0397841,Semester 2,62,2.74,80,5.0,7.3,64,4.4,4,2,4,6,0,17,Medium Risk,63.24
Daniel Ong,0342591,Semester 2,86,3.1,77,6.6,9.8,54,4.3,6,3,5,1,5,17,Medium Risk,66.8
Ethan Lau,0397782,Semester 2,58,3.33,26,6.8,7.8,43,10.6,10,5,8,8,3,10,Medium Risk,96.52
Brandon Wong,0317592,Semester 4,70,2.05,18,5.4,1.7,36,2.7,10,5,2,4,0,17,Medium Risk,81.07
Ryan Tan,0364948,Semester 2,89,2.95,67,8.5,3.7,84,4.4,10,1,10,2,1,20,Low Risk,13.25
Kevin Chan,0322363,Semester 3,75,1.97,10,5.5,7.2,90,4.2,4,5,5,8,0,7,Low Risk,35.0
Chris Yap,0441850,Semester 1,47,3.0,92,3.9,3.4,48,1.8,3,5,10,10,2,14,High Risk,75.15
Ethan Koh,0492397,Semester 1,65,3.87,74,6.2,4.9,35,10.8,6,10,5,1,0,7,Medium Risk,97.98
Harry Lau,0314117,Semester 4,42,3.48,32,5.8,6.9,65,3.0,10,7,8,2,3,11,Medium Risk,69.33
Adam Lau,0419287,Semester 3,50,2.53,98,6.0,7.0,81,9.9,9,1,8,2,2,8,Medium Risk,59.98
Chris Liew,0463354,Semester 1,72,3.61,10,6.9,5.9,82,1.6,9,6,10,8,5,14,Low Risk,31.97
Nathan Lee,0354942,Semester 2,96,3.34,25,3.2,6.7,60,8.8,5,9,1,9,3,2,Low Risk,46.52
Jason Lau,0316630,Semester 4,81,3.63,73,8.6,3.6,64,5.6,8,8,4,8,4,4,Low Risk,33.98
Jack Ng,0456438,Semester 2,44,2.41,63,5.0,8.1,64,10.0,5,5,10,10,5,15,Medium Risk,74.2
Adam Chan,0417331,Semester 3,61,3.01,79,5.3,9.4,54,11.8,4,10,7,4,3,1,Medium Risk,87.02
Jason Chan,0428301,Semester 4,82,3.54,93,8.9,5.5,34,2.4,10,6,2,8,0,16,Medium Risk,55.66
David Wong,0465444,Semester 4,95,3.24,29,3.4,8.0,63,4.7,7,2,6,9,3,10,Low Risk,11.44
John Chan,0350857,Semester 3,80,3.31,46,9.0,7.7,85,11.8,2,8,3,5,0,1,Low Risk,21.73
Ethan Liew,0356898,Semester 2,49,2.34,62,6.4,8.1,51,2.9,10,7,10,4,3,18,High Risk,64.98
Kevin Chan,0351104,Semester 4,56,3.27,69,8.4,7.1,50,1.8,6,10,5,7,5,8,Medium Risk,91.35
Chris Chong,0489276,Semester 1,94,2.86,40,5.3,4.2,67,11.9,5,1,7,5,0,18,Low Risk,39.81
