student_name,student_id,age,study_hours,attendance,assignment_delay,stress,gpa,internet,part_time_job,family_problems,scholarship,department,semester
Student 201,0386709,19,1.4,50,11,10,2.18,No,Yes,No,No,Business,Semester 5
Student 202,0342038,21,3.8,87,5,2,3.41,No,No,No,No,Data Science,Semester 3
Student 203,0355579,20,5.5,90,8,1,2.88,No,Yes,No,No,Software Engineering,Semester 2
Student 204,0310071,22,4.3,91,1,1,3.73,No,No,Yes,Yes,Business,Semester 3
Student 205,0397076,21,7.5,88,0,1,3.95,Yes,No,No,Yes,Business,Semester 4
Student 206,0375724,18,0.8,40,13,9,2.15,Yes,Yes,No,Yes,Software Engineering,Semester 1
Student 207,0340263,19,4.0,45,1,6,3.21,No,No,No,No,Software Engineering,Semester 3
Student 208,0340730,20,7.1,76,2,9,2.67,No,No,No,No,Computer Science,Semester 2
Student 209,0391694,24,1.4,54,7,8,1.98,Yes,Yes,No,Yes,Computer Science,Semester 3
Student 210,0377431,23,1.6,45,2,9,3.62,Yes,No,Yes,No,Computer Science,Semester 4
Student 211,0374813,25,6.7,87,2,2,3.8,Yes,Yes,Yes,No,Computer Science,Semester 6
Student 212,0334013,22,5.9,65,0,9,2.18,No,No,No,No,Engineering,Semester 3
Student 213,0358651,22,6.9,52,8,3,2.77,No,Yes,Yes,No,Computer Science,Semester 2
Student 214,0382519,22,4.1,80,8,10,2.69,No,Yes,No,Yes,Computer Science,Semester 4
Student 215,0345297,25,4.9,86,3,5,3.73,No,No,Yes,No,Computer Science,Semester 5
Student 216,0388300,19,4.2,64,3,8,3.29,Yes,Yes,Yes,No,Data Science,Semester 4
Student 217,0330827,26,7.6,100,1,3,3.6,No,No,Yes,Yes,Business,Semester 2
Student 218,0337356,20,6.6,90,1,4,3.42,Yes,No,No,Yes,Engineering,Semester 2
Student 219,0316656,18,3.4,59,2,2,2.25,No,No,No,No,Computer Science,Semester 5
Student 220,0355452,26,3.6,80,5,7,3.25,Yes,No,Yes,Yes,Software Engineering,Semester 4
Student 221,0378904,20,6.6,87,0,3,3.99,Yes,No,No,Yes,Computer Science,Semester 2
Student 222,0380655,20,5.7,98,0,1,3.36,Yes,Yes,No,No,Business,Semester 5
Student 223,0321913,24,5.8,95,2,4,3.53,No,Yes,No,Yes,Software Engineering,Semester 2
Student 224,0384978,23,5.1,92,1,1,3.74,Yes,Yes,No,Yes,Data Science,Semester 2
Student 225,0394882,21,7.8,89,1,6,2.94,Yes,No,No,No,Software Engineering,Semester 3
Student 226,0366484,21,6.8,77,9,10,2.19,No,Yes,No,No,Engineering,Semester 4
Student 227,0317260,21,4.9,50,0,9,2.5,Yes,No,Yes,No,Computer Science,Semester 3
Student 228,0367421,25,5.5,83,6,4,3.17,No,No,Yes,No,Data Science,Semester 2
Student 229,0363992,19,2.5,85,9,3,3.36,No,No,Yes,Yes,Business,Semester 2
Student 230,0376585,18,6.5,90,4,6,3.31,Yes,No,No,No,Business,Semester 5
Student 231,0376012,19,4.7,94,0,8,2.65,No,Yes,Yes,Yes,Data Science,Semester 3
Student 232,0392921,24,3.9,55,7,3,3.16,No,No,No,No,Engineering,Semester 3
Student 233,0371665,26,1.7,100,6,9,2.87,Yes,No,Yes,No,Engineering,Semester 6
Student 234,0317331,23,2.3,89,5,4,2.25,No,No,Yes,Yes,Business,Semester 4
Student 235,0351756,24,1.2,44,9,9,1.21,No,No,Yes,Yes,Business,Semester 2
Student 236,0398246,19,7.6,86,0,1,3.57,Yes,No,No,Yes,Engineering,Semester 3
Student 237,0356891,21,0.6,44,14,7,2.19,No,No,Yes,No,Data Science,Semester 2
Student 238,0322057,20,1.0,83,2,5,3.3,No,No,Yes,No,Engineering,Semester 3
Student 239,0370447,18,1.9,79,0,6,3.33,Yes,No,No,Yes,Engineering,Semester 6
Student 240,0375390,24,7.9,84,10,4,2.88,Yes,Yes,No,Yes,Data Science,Semester 5
Student 241,0381349,21,5.5,97,8,4,3.45,Yes,No,Yes,Yes,Business,Semester 3
Student 242,0323668,23,3.3,64,10,4,3.06,Yes,No,Yes,Yes,Software Engineering,Semester 5
Student 243,0322982,18,4.3,97,6,7,2.92,No,Yes,Yes,Yes,Computer Science,Semester 2
Student 244,0381973,25,5.2,95,0,2,3.61,Yes,Yes,Yes,Yes,Business,Semester 1
Student 245,0324490,26,3.5,45,9,10,3.2,No,No,Yes,Yes,Software Engineering,Semester 2
Student 246,0358380,18,2.9,83,4,6,2.36,No,No,No,No,Engineering,Semester 2
Student 247,0378057,24,6.9,99,0,2,3.61,Yes,No,Yes,No,Engineering,Semester 3
Student 248,0346073,25,1.3,59,4,4,2.62,Yes,Yes,No,Yes,Data Science,Semester 4
Student 249,0340051,24,2.0,49,8,8,1.93,Yes,Yes,Yes,Yes,Software Engineering,Semester 1
Student 250,0352016,19,5.4,52,4,6,3.35,No,No,Yes,No,Engineering,Semester 2
Student 251,0355547,26,5.9,92,0,3,3.93,Yes,Yes,No,Yes,Engineering,Semester 4
Student 252,0376776,18,4.0,60,0,6,2.82,Yes,Yes,No,No,Engineering,Semester 2
Student 253,0358764,22,6.0,77,9,5,2.21,No,No,Yes,No,Engineering,Semester 3
Student 254,0349488,20,2.1,56,11,8,1.85,No,No,Yes,Yes,Business,Semester 1
Student 255,0345439,19,2.2,87,10,1,4.0,Yes,No,No,No,Data Science,Semester 5
Student 256,0379830,23,5.6,86,2,4,3.54,No,Yes,No,No,Engineering,Semester 3
Student 257,0317900,22,6.7,87,0,4,3.24,No,Yes,Yes,No,Business,Semester 2
Student 258,0386226,21,7.0,86,2,4,3.92,Yes,Yes,Yes,Yes,Computer Science,Semester 3
Student 259,0399778,23,0.8,65,14,7,1.49,Yes,No,Yes,Yes,Engineering,Semester 3
Student 260,0322944,25,6.9,72,1,9,2.84,No,Yes,Yes,No,Engineering,Semester 2
Student 261,0361182,23,3.0,57,6,6,2.01,No,Yes,No,Yes,Data Science,Semester 4
