student_name,student_id,age,study_hours,attendance,assignment_delay,stress,gpa,internet,part_time_job,family_problems,scholarship,department,semester
Student 6253,STU6253,26,4,61,7,46,2.67,Yes,Yes,No,No,Business,Semester 4
Student 4685,STU4685,18,4,86,0,89,3.95,Yes,No,Yes,No,Engineering,Semester 3
Student 1732,STU1732,20,4,86,5,79,3.29,Yes,Yes,No,No,Computer Science,Semester 2
Student 4743,STU4743,21,4,76,3,89,2.7,Yes,No,Yes,Yes,Data Science,Semester 2
Student 4522,STU4522,23,4,79,1,34,3.81,Yes,No,No,No,Software Engineering,Semester 4
Student 6341,STU6341,19,4,60,6,75,2.9,Yes,Yes,No,Yes,Data Science,Semester 4
Student 577,STU0577,21,4,81,1,81,2.9,Yes,No,No,Yes,Engineering,Semester 2
Student 5203,STU5203,21,4,72,5,32,3.29,Yes,No,No,Yes,Computer Science,Semester 2
Student 6364,STU6364,22,4,66,0,26,2.97,Yes,No,No,Yes,Engineering,Semester 4
Student 440,STU0440,20,4,82,4,40,3.04,Yes,Yes,Yes,Yes,Data Science,Semester 2
Student 2751,STU2751,24,4,73,3,33,3.3,Yes,Yes,No,Yes,Computer Science,Semester 4
Student 7488,STU7488,22,4,97,7,22,2.49,No,No,No,No,Computer Science,Semester 1
Student 5273,STU5273,18,4,71,4,82,2.95,Yes,No,No,Yes,Data Science,Semester 1
Student 5654,STU5654,23,4,89,2,62,2.58,Yes,Yes,No,No,Business,Semester 1
Student 4000,STU4000,21,4,69,5,31,3.16,Yes,No,No,No,Computer Science,Semester 3
Student 6034,STU6034,19,4,59,6,74,2.37,Yes,No,Yes,No,Software Engineering,Semester 3
Student 583,STU0583,22,4,90,6,78,3.71,Yes,No,No,No,Computer Science,Semester 2
Student 9931,STU9931,19,4,87,7,39,2.73,Yes,Yes,No,Yes,Engineering,Semester 4
Student 7052,STU7052,21,4,75,0,88,2.85,Yes,Yes,Yes,No,Computer Science,Semester 3
Student 8159,STU8159,22,4,89,5,64,2.95,Yes,Yes,Yes,Yes,Business,Semester 1
Student 9897,STU9897,20,4,96,6,74,2.57,Yes,Yes,Yes,No,Computer Science,Semester 3
Student 2250,STU2250,23,4,81,2,78,3.1,Yes,No,Yes,Yes,Software Engineering,Semester 1
Student 4641,STU4641,22,4,99,6,94,3.5,No,No,Yes,No,Business,Semester 4
Student 9486,STU9486,23,4,84,6,79,2.85,Yes,Yes,Yes,No,Computer Science,Semester 3
Student 4948,STU4948,18,4,93,4,80,2.81,Yes,No,No,No,Engineering,Semester 1
Student 9921,STU9921,18,4,84,6,61,3.29,Yes,Yes,No,No,Computer Science,Semester 2
Student 1964,STU1964,22,4,99,3,63,3.26,Yes,Yes,No,No,Data Science,Semester 3
Student 8244,STU8244,23,4,75,4,25,3.06,Yes,Yes,No,Yes,Software Engineering,Semester 2
Student 6591,STU6591,20,4,80,1,88,3.55,Yes,No,No,No,Engineering,Semester 3
Student 8848,STU8848,21,4,78,6,41,3.19,Yes,No,No,Yes,Engineering,Semester 1
Student 322,STU0322,22,4,76,4,84,3.8,Yes,Yes,No,No,Business,Semester 3
Student 2679,STU2679,21,4,91,4,39,2.86,Yes,No,No,No,Data Science,Semester 4
Student 4626,STU4626,23,4,97,6,66,2.49,Yes,No,Yes,Yes,Engineering,Semester 4
Student 4950,STU4950,22,4,80,4,67,3.63,Yes,Yes,No,No,Data Science,Semester 3
Student 8329,STU8329,21,4,76,6,43,2.21,No,Yes,No,Yes,Data Science,Semester 3
Student 3338,STU3338,20,4,87,7,91,2.62,Yes,Yes,No,No,Computer Science,Semester 2
Student 5590,STU5590,24,4,78,7,58,2.56,Yes,Yes,No,Yes,Software Engineering,Semester 1
Student 252,STU0252,23,4,59,4,74,3.03,Yes,Yes,No,Yes,Business,Semester 4
Student 3974,STU3974,21,4,78,3,74,2.97,Yes,No,No,Yes,Software Engineering,Semester 2
Student 6631,STU6631,17,4,89,0,89,3.55,Yes,Yes,Yes,Yes,Computer Science,Semester 4
Student 5548,STU5548,22,4,76,3,82,3.03,Yes,Yes,No,No,Software Engineering,Semester 4
Student 36,STU0036,18,4,87,5,38,2.74,Yes,Yes,No,Yes,Software Engineering,Semester 2
Student 8363,STU8363,18,4,71,2,77,2.87,Yes,No,No,No,Software Engineering,Semester 4
Student 1514,STU1514,17,4,66,1,45,2.58,Yes,No,No,No,Computer Science,Semester 4
Student 9318,STU9318,18,4,84,0,66,3.3,Yes,No,No,No,Software Engineering,Semester 1
Student 40,STU0040,21,4,80,6,33,3.67,Yes,Yes,Yes,Yes,Data Science,Semester 4
Student 4820,STU4820,20,4,67,5,22,3.09,Yes,No,No,Yes,Business,Semester 1
Student 3466,STU3466,18,4,60,6,88,2.99,Yes,No,Yes,Yes,Engineering,Semester 3
Student 1761,STU1761,24,4,57,7,33,3.21,Yes,No,No,No,Engineering,Semester 4
Student 2305,STU2305,25,4,65,6,27,2.8,No,No,No,No,Computer Science,Semester 4
Student 3724,STU3724,17,4,97,5,34,2.94,Yes,Yes,No,No,Data Science,Semester 3
Student 8285,STU8285,18,4,64,1,64,2.93,Yes,No,Yes,No,Computer Science,Semester 4
Student 4994,STU4994,22,4,65,1,64,3.32,Yes,No,Yes,Yes,Computer Science,Semester 2
Student 8128,STU8128,18,4,70,0,22,2.83,No,No,No,Yes,Data Science,Semester 3
Student 3033,STU3033,22,4,74,5,30,2.05,Yes,No,Yes,No,Computer Science,Semester 1
Student 7939,STU7939,24,4,96,5,28,2.49,Yes,No,No,Yes,Data Science,Semester 4
Student 3040,STU3040,20,4,98,0,23,4.0,Yes,No,No,Yes,Data Science,Semester 2
Student 9656,STU9656,23,4,73,7,69,2.93,Yes,No,Yes,Yes,Computer Science,Semester 1
Student 2546,STU2546,22,4,63,5,25,3.23,Yes,Yes,No,Yes,Engineering,Semester 3
Student 2593,STU2593,20,4,90,2,63,2.96,Yes,No,No,No,Data Science,Semester 4
Student 1189,STU1189,22,4,69,7,24,2.97,Yes,Yes,No,No,Engineering,Semester 4
Student 7967,STU7967,23,4,77,3,76,2.5,Yes,No,No,No,Data Science,Semester 2
Student 6078,STU6078,19,4,75,6,68,3.77,Yes,Yes,Yes,Yes,Software Engineering,Semester 4
Student 108,STU0108,21,4,93,6,88,2.66,Yes,No,No,Yes,Engineering,Semester 3
Student 1316,STU1316,18,4,59,0,47,2.65,Yes,No,No,No,Engineering,Semester 3
Student 8188,STU8188,22,4,76,5,58,3.17,No,No,No,No,Business,Semester 4
Student 2754,STU2754,20,4,85,2,53,3.52,Yes,Yes,No,No,Data Science,Semester 1
Student 9754,STU9754,21,4,69,4,81,2.88,Yes,No,No,No,Business,Semester 4
Student 6232,STU6232,20,4,82,0,31,2.16,No,Yes,No,No,Computer Science,Semester 3
Student 2877,STU2877,18,4,92,3,88,2.17,Yes,No,Yes,No,Computer Science,Semester 2
Student 5324,STU5324,21,4,69,4,73,3.7,No,No,No,No,Data Science,Semester 3
Student 800,STU0800,21,4,73,4,92,3.03,No,Yes,No,No,Software Engineering,Semester 3
Student 3571,STU3571,20,4,89,4,56,3.6,Yes,Yes,Yes,No,Business,Semester 4
Student 2895,STU2895,22,4,72,7,52,3.11,Yes,No,No,Yes,Data Science,Semester 1
Student 2928,STU2928,21,4,64,6,68,2.62,No,No,No,Yes,Software Engineering,Semester 2
Student 8179,STU8179,22,4,69,4,20,3.18,Yes,No,Yes,No,Data Science,Semester 3
Student 972,STU0972,19,4,78,1,66,3.12,No,No,No,Yes,Software Engineering,Semester 2
Student 6688,STU6688,19,4,74,3,56,3.22,Yes,No,No,No,Business,Semester 4
Student 8576,STU8576,21,4,91,2,28,3.04,Yes,No,No,Yes,Software Engineering,Semester 4
Student 2021,STU2021,21,4,65,0,37,2.78,No,No,No,Yes,Business,Semester 3
Student 9055,STU9055,17,4,63,7,63,3.52,Yes,No,No,Yes,Data Science,Semester 3
Student 953,STU0953,18,4,59,2,89,2.97,Yes,Yes,No,No,Software Engineering,Semester 4
Student 5360,STU5360,20,4,65,6,82,3.11,Yes,Yes,Yes,Yes,Software Engineering,Semester 1
Student 3858,STU3858,22,4,93,1,22,2.56,Yes,No,No,Yes,Data Science,Semester 3
Student 5862,STU5862,23,4,81,4,37,2.51,Yes,No,Yes,Yes,Business,Semester 4
Student 3146,STU3146,22,4,56,5,56,2.64,Yes,No,No,Yes,Business,Semester 4
Student 3306,STU3306,23,4,74,7,39,2.51,Yes,No,No,No,Computer Science,Semester 3
Student 3007,STU3007,22,4,75,0,55,2.03,No,No,Yes,Yes,Computer Science,Semester 2
Student 9002,STU9002,23,4,84,3,23,2.72,Yes,Yes,Yes,Yes,Engineering,Semester 2
Student 7771,STU7771,23,4,55,7,36,3.69,Yes,No,No,Yes,Business,Semester 1
Student 7439,STU7439,17,4,89,0,76,2.81,Yes,No,No,No,Computer Science,Semester 2
Student 7943,STU7943,17,4,80,6,68,2.43,No,No,No,No,Computer Science,Semester 1
Student 9239,STU9239,19,4,86,7,72,3.32,Yes,No,No,No,Software Engineering,Semester 1
Student 1057,STU1057,20,4,63,7,29,2.95,Yes,No,No,Yes,Computer Science,Semester 2
Student 3155,STU3155,18,4,94,0,48,2.83,Yes,Yes,No,No,Software Engineering,Semester 2
Student 3788,STU3788,19,4,75,2,28,2.46,Yes,Yes,No,Yes,Data Science,Semester 4
Student 9190,STU9190,24,4,70,5,40,3.0,Yes,No,Yes,Yes,Software Engineering,Semester 3
Student 7826,STU7826,23,4,66,4,20,3.02,No,No,No,Yes,Business,Semester 3
Student 7540,STU7540,20,4,90,3,55,3.14,Yes,No,No,No,Business,Semester 1
Student 7232,STU7232,24,4,91,0,25,3.03,Yes,No,No,No,Software Engineering,Semester 1
Student 765,STU0765,23,4,81,1,37,2.94,Yes,No,No,No,Data Science,Semester 4
Student 5020,STU5020,21,4,61,1,91,3.0,No,No,No,No,Software Engineering,Semester 4
