student_name,student_id,age,study_hours,attendance,assignment_delay,stress,gpa,internet,part_time_job,family_problems,scholarship,department,semester
Student 1,STU0001,22,3,86,2,5,0,Yes,No,No,No,Software Engineering,Semester 2
Student 2,STU0002,20,4,68,2,6,1,No,Yes,Yes,No,Computer Science,Semester 2
Student 3,STU0003,22,4,70,0,5,1,Yes,Yes,No,No,Data Science,Semester 2
Student 4,STU0004,24,4,82,2,5,1,Yes,No,No,Yes,Engineering,Semester 1
Student 5,STU0005,20,4,75,1,7,0,Yes,No,No,No,Software Engineering,Semester 3
Student 6,STU0006,20,4,89,2,6,2,Yes,No,No,No,Business,Semester 4
Student 7,STU0007,24,3,78,1,7,0,Yes,Yes,No,No,Software Engineering,Semester 3
Student 8,STU0008,22,2,86,1,6,1,No,No,Yes,No,Computer Science,Semester 3
Student 9,STU0009,20,4,97,3,4,2,Yes,No,No,No,Engineering,Semester 4
Student 10,STU0010,22,2,82,1,6,1,Yes,No,Yes,Yes,Business,Semester 4
Student 11,STU0011,20,5,73,3,7,1,Yes,No,No,No,Engineering,Semester 2
Student 12,STU0012,20,2,85,6,8,0,No,No,Yes,No,Engineering,Semester 2
Student 13,STU0013,21,3,84,1,4,2,Yes,No,Yes,No,Software Engineering,Semester 2
Student 14,STU0014,17,4,84,1,4,2,Yes,Yes,No,No,Data Science,Semester 1
Student 15,STU0015,17,4,92,1,5,2,Yes,No,No,Yes,Software Engineering,Semester 1
Student 16,STU0016,19,3,72,2,7,3,Yes,Yes,No,No,Business,Semester 3
Student 17,STU0017,18,4,90,2,4,2,Yes,Yes,No,Yes,Computer Science,Semester 1
Student 18,STU0018,21,4,77,0,4,1,Yes,Yes,No,Yes,Software Engineering,Semester 1
Student 19,STU0019,19,4,93,2,4,3,Yes,Yes,No,No,Data Science,Semester 4
Student 20,STU0020,17,4,65,1,5,1,Yes,Yes,Yes,Yes,Data Science,Semester 2
Student 21,STU0021,24,6,99,2,3,2,Yes,Yes,No,No,Software Engineering,Semester 4
Student 22,STU0022,20,3,79,0,6,2,Yes,Yes,No,No,Business,Semester 2
Student 23,STU0023,21,6,72,2,2,3,Yes,No,No,No,Data Science,Semester 3
Student 24,STU0024,17,4,89,3,4,3,Yes,Yes,No,No,Data Science,Semester 4
Student 25,STU0025,19,4,86,3,5,0,Yes,No,No,No,Business,Semester 2
Student 26,STU0026,21,4,85,2,3,3,Yes,Yes,No,No,Business,Semester 4
Student 27,STU0027,18,5,89,0,4,1,Yes,No,Yes,Yes,Business,Semester 4
Student 28,STU0028,21,3,82,4,5,0,Yes,No,Yes,No,Business,Semester 2
