student_id,student_name,student_email,department,programme,phone_number,status,created_at
367364,Student 400,367364@student.aura-student-risk.com,Business,Business,+60121000000,active,2026-06-11 19:14:24
398902,Student 399,398902@student.aura-student-risk.com,Engineering,Engineering,+60121000001,active,2026-06-11 19:14:24
314263,Student 398,314263@student.aura-student-risk.com,Engineering,Engineering,+60121000002,active,2026-06-11 19:14:24
334278,Student 397,334278@student.aura-student-risk.com,CS,Computer Science,+60121000003,active,2026-06-11 19:14:24
342320,Student 396,342320@student.aura-student-risk.com,CS,Computer Science,+60121000004,active,2026-06-11 19:14:24
361119,Student 395,361119@student.aura-student-risk.com,CS,Computer Science,+60121000005,active,2026-06-11 19:14:24
334977,Student 394,334977@student.aura-student-risk.com,Business,Business,+60121000006,active,2026-06-11 19:14:24
393533,Student 393,393533@student.aura-student-risk.com,Engineering,Engineering,+60121000007,active,2026-06-11 19:14:24
379155,Student 392,379155@student.aura-student-risk.com,Engineering,Engineering,+60121000008,active,2026-06-11 19:14:24
374571,Student 391,374571@student.aura-student-risk.com,Engineering,Engineering,+60121000009,active,2026-06-11 19:14:24
313276,Student 390,313276@student.aura-student-risk.com,CS,Computer Science,+60121000010,active,2026-06-11 19:14:24
362192,Student 389,362192@student.aura-student-risk.com,Engineering,Engineering,+60121000011,active,2026-06-11 19:14:24
394872,Student 388,394872@student.aura-student-risk.com,CS,Computer Science,+60121000012,active,2026-06-11 19:14:24
362200,Student 387,362200@student.aura-student-risk.com,CS,Computer Science,+60121000013,active,2026-06-11 19:14:24
390390,Student 386,390390@student.aura-student-risk.com,Business,Business,+60121000014,active,2026-06-11 19:14:24
345865,Student 385,345865@student.aura-student-risk.com,CS,Computer Science,+60121000015,active,2026-06-11 19:14:24
359591,Student 384,359591@student.aura-student-risk.com,Business,Business,+60121000016,active,2026-06-11 19:14:24
381139,Student 383,381139@student.aura-student-risk.com,CS,Computer Science,+60121000017,active,2026-06-11 19:14:24
344520,Student 382,344520@student.aura-student-risk.com,Business,Business,+60121000018,active,2026-06-11 19:14:24
322412,Student 381,322412@student.aura-student-risk.com,CS,Computer Science,+60121000019,active,2026-06-11 19:14:24
315657,Student 380,315657@student.aura-student-risk.com,CS,Computer Science,+60121000020,active,2026-06-11 19:14:24
390007,Student 379,390007@student.aura-student-risk.com,CS,Computer Science,+60121000021,active,2026-06-11 19:14:24
359427,Student 378,359427@student.aura-student-risk.com,Engineering,Engineering,+60121000022,active,2026-06-11 19:14:24
324517,Student 377,324517@student.aura-student-risk.com,CS,Computer Science,+60121000023,active,2026-06-11 19:14:24
353379,Student 376,353379@student.aura-student-risk.com,CS,Computer Science,+60121000024,active,2026-06-11 19:14:24
362635,Student 375,362635@student.aura-student-risk.com,CS,Computer Science,+60121000025,active,2026-06-11 19:14:24
352915,Student 374,352915@student.aura-student-risk.com,Engineering,Engineering,+60121000026,active,2026-06-11 19:14:24
314252,Student 373,314252@student.aura-student-risk.com,Business,Business,+60121000027,active,2026-06-11 19:14:24
331638,Student 372,331638@student.aura-student-risk.com,CS,Computer Science,+60121000028,active,2026-06-11 19:14:24
342049,Student 371,342049@student.aura-student-risk.com,Business,Business,+60121000029,active,2026-06-11 19:14:24
315210,Student 370,315210@student.aura-student-risk.com,CS,Computer Science,+60121000030,active,2026-06-11 19:14:24
359325,Student 369,359325@student.aura-student-risk.com,Engineering,Engineering,+60121000031,active,2026-06-11 19:14:24
313996,Student 368,313996@student.aura-student-risk.com,CS,Computer Science,+60121000032,active,2026-06-11 19:14:24
358866,Student 367,358866@student.aura-student-risk.com,Engineering,Engineering,+60121000033,active,2026-06-11 19:14:24
376434,Student 366,376434@student.aura-student-risk.com,CS,Computer Science,+60121000034,active,2026-06-11 19:14:24
381438,Student 365,381438@student.aura-student-risk.com,CS,Computer Science,+60121000035,active,2026-06-11 19:14:24
334625,Student 364,334625@student.aura-student-risk.com,CS,Computer Science,+60121000036,active,2026-06-11 19:14:24
312307,Student 363,312307@student.aura-student-risk.com,Engineering,Engineering,+60121000037,active,2026-06-11 19:14:24
387311,Student 362,387311@student.aura-student-risk.com,CS,Computer Science,+60121000038,active,2026-06-11 19:14:24
363731,Student 361,363731@student.aura-student-risk.com,Business,Business,+60121000039,active,2026-06-11 19:14:24
325165,Student 360,325165@student.aura-student-risk.com,CS,Computer Science,+60121000040,active,2026-06-11 19:14:24
313987,Student 359,313987@student.aura-student-risk.com,CS,Computer Science,+60121000041,active,2026-06-11 19:14:24
395420,Student 358,395420@student.aura-student-risk.com,Engineering,Engineering,+60121000042,active,2026-06-11 19:14:24
358469,Student 357,358469@student.aura-student-risk.com,Business,Business,+60121000043,active,2026-06-11 19:14:24
381249,Student 356,381249@student.aura-student-risk.com,Business,Business,+60121000044,active,2026-06-11 19:14:24
353636,Student 355,353636@student.aura-student-risk.com,Business,Business,+60121000045,active,2026-06-11 19:14:24
373486,Student 354,373486@student.aura-student-risk.com,CS,Computer Science,+60121000046,active,2026-06-11 19:14:24
354176,Student 353,354176@student.aura-student-risk.com,Engineering,Engineering,+60121000047,active,2026-06-11 19:14:24
320818,Student 352,320818@student.aura-student-risk.com,Business,Business,+60121000048,active,2026-06-11 19:14:24
370438,Student 351,370438@student.aura-student-risk.com,CS,Computer Science,+60121000049,active,2026-06-11 19:14:24
329041,Student 350,329041@student.aura-student-risk.com,CS,Computer Science,+60121000050,active,2026-06-11 19:14:24
384016,Student 349,384016@student.aura-student-risk.com,Engineering,Engineering,+60121000051,active,2026-06-11 19:14:24
382885,Student 348,382885@student.aura-student-risk.com,Business,Business,+60121000052,active,2026-06-11 19:14:24
325817,Student 347,325817@student.aura-student-risk.com,CS,Computer Science,+60121000053,active,2026-06-11 19:14:24
329510,Student 346,329510@student.aura-student-risk.com,CS,Computer Science,+60121000054,active,2026-06-11 19:14:24
390915,Student 345,390915@student.aura-student-risk.com,CS,Computer Science,+60121000055,active,2026-06-11 19:14:24
321790,Student 344,321790@student.aura-student-risk.com,CS,Computer Science,+60121000056,active,2026-06-11 19:14:24
320914,Student 343,320914@student.aura-student-risk.com,CS,Computer Science,+60121000057,active,2026-06-11 19:14:24
332928,Student 342,332928@student.aura-student-risk.com,CS,Computer Science,+60121000058,active,2026-06-11 19:14:24
329923,Student 341,329923@student.aura-student-risk.com,Business,Business,+60121000059,active,2026-06-11 19:14:24
349316,Student 340,349316@student.aura-student-risk.com,CS,Computer Science,+60121000060,active,2026-06-11 19:14:24
393850,Student 339,393850@student.aura-student-risk.com,Engineering,Engineering,+60121000061,active,2026-06-11 19:14:24
346823,Student 338,346823@student.aura-student-risk.com,CS,Computer Science,+60121000062,active,2026-06-11 19:14:24
332477,Student 337,332477@student.aura-student-risk.com,CS,Computer Science,+60121000063,active,2026-06-11 19:14:24
361198,Student 336,361198@student.aura-student-risk.com,CS,Computer Science,+60121000064,active,2026-06-11 19:14:24
342719,Student 335,342719@student.aura-student-risk.com,CS,Computer Science,+60121000065,active,2026-06-11 19:14:24
376436,Student 334,376436@student.aura-student-risk.com,CS,Computer Science,+60121000066,active,2026-06-11 19:14:24
329417,Student 333,329417@student.aura-student-risk.com,Engineering,Engineering,+60121000067,active,2026-06-11 19:14:24
343189,Student 332,343189@student.aura-student-risk.com,CS,Computer Science,+60121000068,active,2026-06-11 19:14:24
337651,Student 331,337651@student.aura-student-risk.com,CS,Computer Science,+60121000069,active,2026-06-11 19:14:24
398555,Student 330,398555@student.aura-student-risk.com,Business,Business,+60121000070,active,2026-06-11 19:14:24
392059,Student 329,392059@student.aura-student-risk.com,CS,Computer Science,+60121000071,active,2026-06-11 19:14:24
377362,Student 328,377362@student.aura-student-risk.com,CS,Computer Science,+60121000072,active,2026-06-11 19:14:24
334319,Student 327,334319@student.aura-student-risk.com,Business,Business,+60121000073,active,2026-06-11 19:14:24
376499,Student 326,376499@student.aura-student-risk.com,CS,Computer Science,+60121000074,active,2026-06-11 19:14:24
341913,Student 325,341913@student.aura-student-risk.com,CS,Computer Science,+60121000075,active,2026-06-11 19:14:24
389507,Student 324,389507@student.aura-student-risk.com,Business,Business,+60121000076,active,2026-06-11 19:14:24
352375,Student 323,352375@student.aura-student-risk.com,CS,Computer Science,+60121000077,active,2026-06-11 19:14:24
339469,Student 322,339469@student.aura-student-risk.com,CS,Computer Science,+60121000078,active,2026-06-11 19:14:24
377256,Student 321,377256@student.aura-student-risk.com,Business,Business,+60121000079,active,2026-06-11 19:14:24
360195,Student 320,360195@student.aura-student-risk.com,CS,Computer Science,+60121000080,active,2026-06-11 19:14:24
353854,Student 319,353854@student.aura-student-risk.com,CS,Computer Science,+60121000081,active,2026-06-11 19:14:24
354861,Student 318,354861@student.aura-student-risk.com,CS,Computer Science,+60121000082,active,2026-06-11 19:14:24
317197,Student 317,317197@student.aura-student-risk.com,Business,Business,+60121000083,active,2026-06-11 19:14:24
391671,Student 316,391671@student.aura-student-risk.com,Business,Business,+60121000084,active,2026-06-11 19:14:24
315694,Student 315,315694@student.aura-student-risk.com,CS,Computer Science,+60121000085,active,2026-06-11 19:14:24
311810,Student 314,311810@student.aura-student-risk.com,CS,Computer Science,+60121000086,active,2026-06-11 19:14:24
375095,Student 313,375095@student.aura-student-risk.com,Engineering,Engineering,+60121000087,active,2026-06-11 19:14:24
369358,Student 312,369358@student.aura-student-risk.com,Engineering,Engineering,+60121000088,active,2026-06-11 19:14:24
317436,Student 311,317436@student.aura-student-risk.com,CS,Computer Science,+60121000089,active,2026-06-11 19:14:24
362318,Student 310,362318@student.aura-student-risk.com,CS,Computer Science,+60121000090,active,2026-06-11 19:14:24
371790,Student 309,371790@student.aura-student-risk.com,Engineering,Engineering,+60121000091,active,2026-06-11 19:14:24
378701,Student 308,378701@student.aura-student-risk.com,Business,Business,+60121000092,active,2026-06-11 19:14:24
398890,Student 307,398890@student.aura-student-risk.com,CS,Computer Science,+60121000093,active,2026-06-11 19:14:24
346115,Student 306,346115@student.aura-student-risk.com,CS,Computer Science,+60121000094,active,2026-06-11 19:14:24
323811,Student 305,323811@student.aura-student-risk.com,Business,Business,+60121000095,active,2026-06-11 19:14:24
331550,Student 304,331550@student.aura-student-risk.com,CS,Computer Science,+60121000096,active,2026-06-11 19:14:24
387079,Student 303,387079@student.aura-student-risk.com,Engineering,Engineering,+60121000097,active,2026-06-11 19:14:24
327159,Student 302,327159@student.aura-student-risk.com,Engineering,Engineering,+60121000098,active,2026-06-11 19:14:24
393834,Student 301,393834@student.aura-student-risk.com,CS,Computer Science,+60121000099,active,2026-06-11 19:14:24
324769,Student 300,324769@student.aura-student-risk.com,Engineering,Engineering,+60121000100,active,2026-06-11 19:14:24
331372,Student 299,331372@student.aura-student-risk.com,CS,Computer Science,+60121000101,active,2026-06-11 19:14:24
372675,Student 298,372675@student.aura-student-risk.com,CS,Computer Science,+60121000102,active,2026-06-11 19:14:24
311287,Student 297,311287@student.aura-student-risk.com,CS,Computer Science,+60121000103,active,2026-06-11 19:14:24
388483,Student 296,388483@student.aura-student-risk.com,CS,Computer Science,+60121000104,active,2026-06-11 19:14:24
388665,Student 295,388665@student.aura-student-risk.com,Business,Business,+60121000105,active,2026-06-11 19:14:24
391769,Student 294,391769@student.aura-student-risk.com,Business,Business,+60121000106,active,2026-06-11 19:14:24
391286,Student 293,391286@student.aura-student-risk.com,CS,Computer Science,+60121000107,active,2026-06-11 19:14:24
315348,Student 292,315348@student.aura-student-risk.com,Business,Business,+60121000108,active,2026-06-11 19:14:24
376544,Student 291,376544@student.aura-student-risk.com,Business,Business,+60121000109,active,2026-06-11 19:14:24
392989,Student 290,392989@student.aura-student-risk.com,CS,Computer Science,+60121000110,active,2026-06-11 19:14:24
323493,Student 289,323493@student.aura-student-risk.com,CS,Computer Science,+60121000111,active,2026-06-11 19:14:24
399126,Student 288,399126@student.aura-student-risk.com,CS,Computer Science,+60121000112,active,2026-06-11 19:14:24
339845,Student 287,339845@student.aura-student-risk.com,Engineering,Engineering,+60121000113,active,2026-06-11 19:14:24
366094,Student 286,366094@student.aura-student-risk.com,Business,Business,+60121000114,active,2026-06-11 19:14:24
369751,Student 285,369751@student.aura-student-risk.com,Business,Business,+60121000115,active,2026-06-11 19:14:24
335565,Student 284,335565@student.aura-student-risk.com,CS,Computer Science,+60121000116,active,2026-06-11 19:14:24
343911,Student 283,343911@student.aura-student-risk.com,Engineering,Engineering,+60121000117,active,2026-06-11 19:14:24
371104,Student 282,371104@student.aura-student-risk.com,CS,Computer Science,+60121000118,active,2026-06-11 19:14:24
314853,Student 281,314853@student.aura-student-risk.com,Business,Business,+60121000119,active,2026-06-11 19:14:24
338760,Student 280,338760@student.aura-student-risk.com,CS,Computer Science,+60121000120,active,2026-06-11 19:14:24
314405,Student 279,314405@student.aura-student-risk.com,CS,Computer Science,+60121000121,active,2026-06-11 19:14:24
314228,Student 278,314228@student.aura-student-risk.com,Engineering,Engineering,+60121000122,active,2026-06-11 19:14:24
325431,Student 277,325431@student.aura-student-risk.com,Engineering,Engineering,+60121000123,active,2026-06-11 19:14:24
376571,Student 276,376571@student.aura-student-risk.com,Business,Business,+60121000124,active,2026-06-11 19:14:24
333618,Student 275,333618@student.aura-student-risk.com,Engineering,Engineering,+60121000125,active,2026-06-11 19:14:24
317062,Student 274,317062@student.aura-student-risk.com,Engineering,Engineering,+60121000126,active,2026-06-11 19:14:24
336440,Student 273,336440@student.aura-student-risk.com,CS,Computer Science,+60121000127,active,2026-06-11 19:14:24
382179,Student 272,382179@student.aura-student-risk.com,Business,Business,+60121000128,active,2026-06-11 19:14:24
378690,Student 271,378690@student.aura-student-risk.com,Engineering,Engineering,+60121000129,active,2026-06-11 19:14:24
391929,Student 270,391929@student.aura-student-risk.com,Business,Business,+60121000130,active,2026-06-11 19:14:24
315787,Student 269,315787@student.aura-student-risk.com,CS,Computer Science,+60121000131,active,2026-06-11 19:14:24
310685,Student 268,310685@student.aura-student-risk.com,Engineering,Engineering,+60121000132,active,2026-06-11 19:14:24
381545,Student 267,381545@student.aura-student-risk.com,CS,Computer Science,+60121000133,active,2026-06-11 19:14:24
317599,Student 266,317599@student.aura-student-risk.com,Business,Business,+60121000134,active,2026-06-11 19:14:24
314763,Student 265,314763@student.aura-student-risk.com,Engineering,Engineering,+60121000135,active,2026-06-11 19:14:24
384145,Student 264,384145@student.aura-student-risk.com,CS,Computer Science,+60121000136,active,2026-06-11 19:14:24
321284,Student 263,321284@student.aura-student-risk.com,CS,Computer Science,+60121000137,active,2026-06-11 19:14:24
323746,Student 262,323746@student.aura-student-risk.com,CS,Computer Science,+60121000138,active,2026-06-11 19:14:24
361182,Student 261,361182@student.aura-student-risk.com,CS,Computer Science,+60121000139,active,2026-06-11 19:14:24
322944,Student 260,322944@student.aura-student-risk.com,Engineering,Engineering,+60121000140,active,2026-06-11 19:14:24
399778,Student 259,399778@student.aura-student-risk.com,Engineering,Engineering,+60121000141,active,2026-06-11 19:14:24
386226,Student 258,386226@student.aura-student-risk.com,CS,Computer Science,+60121000142,active,2026-06-11 19:14:24
317900,Student 257,317900@student.aura-student-risk.com,Business,Business,+60121000143,active,2026-06-11 19:14:24
379830,Student 256,379830@student.aura-student-risk.com,Engineering,Engineering,+60121000144,active,2026-06-11 19:14:24
345439,Student 255,345439@student.aura-student-risk.com,CS,Computer Science,+60121000145,active,2026-06-11 19:14:24
349488,Student 254,349488@student.aura-student-risk.com,Business,Business,+60121000146,active,2026-06-11 19:14:24
358764,Student 253,358764@student.aura-student-risk.com,Engineering,Engineering,+60121000147,active,2026-06-11 19:14:24
376776,Student 252,376776@student.aura-student-risk.com,Engineering,Engineering,+60121000148,active,2026-06-11 19:14:24
